الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
شقق عروس الفيصلية للشقق المخدومة,الدمام,الشرقية,الفيصلية,ابو بكر الصديق,51,1777,+966138225599,mosqahtani@gmail.com
شركة دور الضيافة هوليداي ان تبوك,تبوك,تبوك,سلطانة,الامير فهد بن سلطان,2,47311,+966044221212,jam530@Hotmail.com
لو بارك كونكورد,عفيف,الرياض,الجنوبي,الشارع العام,175,,011-7222204,FAZFAZ887@GMAIL.COM
شقق فلورا للوحدات السكنية,الرياض,الرياض,المعيزيلة,شارع محمد بن غريب,3180,7436,+966112608080,FLORARESSD@GMAIL.com
ناصر نعيس قنيفذ الرويسان,عرقة,الرياض,القادسية,السلطان قابوس,12,,011-8104019,ALSQLADI@YAHOO.COM
شقق الاوفاز للوحدات السكنية,بيشة,عسير,الفهد,شارع ابها,6498,3548,+966559426335,khaled.6335@hotmail.com
فندق جوهرة الخزامي,المدينة المنورة,المدينة المنورة,المناخة,الزبيربن العوام,5,,014-8195600,bak555555@hotmail.com
شقق درع شرورة للوحدات السكنية,شرورة,نجران,الامير مشعل أ,الأربعين,5112,0000,+966544558810,direSharurah@gmail.com
هوليدي ان الميدان,الرياض,الرياض,العليا,الرابه,9125,,011-4500045,abdoullah44@gmail.com
روابي شهار للشقق المفروشة,الطائف,مكة المكرمة,شهار,شهار العام,25,,012-7409999,afon2000@hotmail.com
اسناد للوحدات السكنيه,جدة,مكة المكرمة,المروة,عبدالرحمن الخزاعي,20,,012-6785522,safar46@hotmail.com
اسطور تنومة للشقق المفروشة,ةنومة,عسير,ال مرحب,الشارع العام,7,,017-2828012,binzazo2@gmail.com
شركة القصر للشقق المخدومة (شركة شخص واحد),أبها,عسير,حي المروج,شارع الاربعين,3683,3863,+966172214214,riyd1418@GMAIL.COM
سوار الفخامة,جدة,مكة المكرمة,الربوة,المنجف,0,,012-5313030,H_swar@hotmail.com
آرام,ةنومة,عسير,العزيزية,الملك فيصل,4993,,017-2739010,info@aramhospitality.com
شقق الروشن الجوفي للشقق المخدومة,سكاكا,الجوف,الناصرية,الملك خالد,8463,72346,+966599404939,mjeed0000@hotmail.com
شقق رونق صبيا,صبيا,جازان,ابو القعايد,العام,6523,,017-2329564,saleh.27.2015@gmail.com
فندق الجزيره,بالجرشي,الباحة,السوق,الملك سعود,2232,,017-7246258,alsafi1388@hotmail.com
فندق مكارم المحبوبة,المدينة المنورة,المدينة المنورة,النقا,البراء بن عازب الأوسي,3045,1245,+966148477784,hammad-1400@hotmail.com
فندق ديار المرفق الفندقية,العاصمة المقدسة,مكة المكرمة,المعابده,المعابده,2074,2074,+966125466002,apualghith22@gmail.com
بودل,الرياض,الرياض,الملز,فاطمة الزهراء,262,75,+966290000666,exe.dir@boudl.com
فندق التنفيذيين الفندقية,الرياض,الرياض,حي العزيزية,ابي حفص بن شاهين,7714,7714,+966114953311,bandar@executives-hotel.com
خالد عبد العزيز عبد الله الغامدي,جدة,مكة المكرمة,الصفا,طريق الحرمين,8180,,012-6772299,sameh2916272@yahoo.com
مؤسسة ديباج للوحدات السكنية,الدمام,الشرقية,حي السلام,8أ,8422,9995,+966138260444,dybaj50@gmail.com
أجنحة القلمس,خميس مشيط,عسير,الراقي,الراقي,4086,,017-2220002,NAWAF.A.1992@HOTMAIL.COM
فندق جوافة اللوتس الفندقية,نجران,نجران,حي الفهد,العام,3409,25211,+966017000000,a5950032275@gmail.com
شقق غيداء للشقق المخدومة,جازان,جازان,حي النور,الامير متعب بن عبد العزيز,3316,3316,+966017300223,Ghaleb11940@gmail.com
فندق العليان الحرم الفندقية,العاصمة المقدسة,مكة المكرمة,حي الشبيكة,ابراهيم الخليل,7123,2424,+966125566622,mkm.olayanco@gmail.com
فخامة الشرق للشقق الفندقية,جسر الملك فهد,الشرقية,حى الجوهرة,شارع مكة المكرمة,6813,,013-8673333,grandeur_east@hotmail.com
شركة ميلينيوم اند كوبثورن ميدل إيست هولدينجز ليمتد,جازان,جازان,حي الشاطئ,طريق الجامعة,2866,45142,+966173127333,Sami.aljuhani@millenniumhotels.com
غصن السلام,أبو عريش,جازان,الربيع,شارع الملك عبد العزيز,0,,017-3259001,ruse.ksa2@gmail.com
حياة ان شقق فندقية,جدة,مكة المكرمة,السلامة 2,محمد عبد رضا,93,,012-2883000,HAYAT-INN2@HOTMAIL.COM
شقق سمو المكان للوحدات السكنية,الرياض,الرياض,حي النسيم الشرقي,سبا,7544,14242,+966112265912,vvcc73@hotmail.com
طيب اثنين,العاصمة المقدسة,مكة المكرمة,الروضة,الششة,1160,,014-4566676,rokey-2008@hotmail.com
فندق ورقان العزيزية للخدمات الفندقية,العاصمة المقدسة,مكة المكرمة,حي الجامعة,شارع الإعتماد,8113,107,+966556339682,abdulrahman.as@wirgan.com
فندق اركان بكة الفندقية,العاصمة المقدسة,مكة المكرمة,حي العزيزية,طريق الامير سلطان بن عبدالعزيز,3311,56825,+966125277777,halzuhayri@gmail.com
شركة واجهة طيبة الفندقية,المدينة المنورة,المدينة المنورة,حي بضاعة,مصعب بن عمير,2731,2731,+966148200777,taiba.hr04@aqeeqhotels.com
فندق برج السيف الفندقية,العاصمة المقدسة,مكة المكرمة,بطحاء قريش,شارع ذات النطاقين,7346,12713,+966125654000,naifsr22@gmail.com
فندق اصيله الفندقية,المدينة المنورة,المدينة المنورة,حي بني حارثة,ابي ر الغفاري,8607,7540,+966148343550,fahdaseel@hotmail.com
شقق البدر الساطع,الرياض,الرياض,حي اليرموك,شارع راجية,3070,,011-4192120,alajmi87@hotmail.com
فندق بهاء الزهراء الفندقية,المدينة المنورة,المدينة المنورة,المناخة,ابي بكر الصديق,2184,42311,+966148251792,gm@alzuhdigroup.com
فندق مدى العمران الفندقية,العاصمة المقدسة,مكة المكرمة,حي الشبيكة,إبراهيم الخليل - المسفلة,3891,56382,+966555569931,ramsis_922@hotmail.com
شقق لؤلؤة نجد للشقق المخدومة,بريدة,القصيم,حي السلام,سوق الماشية,2921,0000,+966163690467,awad5858@yahoo.com
برج العطاء,خميس مشيط,عسير,مخطط رقم 1,طريق الملك سعود,5728,,017-2225567,saeeed2010@hotmail.com
فندق جواد التاج الفندقية,العاصمة المقدسة,مكة المكرمة,حي الهنداوية,اجياد,4732,2309,+966145481055,m-aa4@hotmail.com
شقق جوهرة تيماء للوحدات السكنية,تيماء,تبوك,الشفاء,الامير سلطان بن عبدالعزيز,1517,,014-4631666,ali0580778889@hotmail.com
شركة منصور بن جمعه للتجارة والخدمات التجارية,الخبر,الشرقية,العقربية,الامير فهد بن سلمان,7791,1179,+966138645517,nmz_2005@hotmail.com
فندق الهدهد الجديد,العاصمة المقدسة,مكة المكرمة,حي التيسير,العام,7838,839,+966504544739,hudhud_umrah@hotmail.com
فندق كرم الرفاع,العاصمة المقدسة,مكة المكرمة,الحفاير,الحفاير ام القرى,0,,014-5506237,ngm286@hotmail.com
شركة قصر البساتين شركة شخص واحد,جدة,مكة المكرمة,حي البساتين,اسماعيل بن كثير,7608,5853,+966122152006,khlid.n.j@hotmail.com
فندق إيبس ينبع,ينبع,المدينة المنورة,الشعلة ب 5,الملك عبد العزيز التجاري,0,,014-3220660,hr_alfdaly@alahlam-marine.com
نجمة ليون للوحدات السكنية,ساجر,الرياض,النخيل,طريق الملك عبدالعزيز,1,,011-6320999,mamfb2014@hotmail.com
الفارس,جازان,جازان,جزيرة المرجان,العام,2771,,017-3234677,alkhayalh@hotmail.com
مؤسسة قصر الشوق للوحدات السكنية,جدة,مكة المكرمة,حي الفاروق,محب الله الغزي,6237,4289,+966126234090,basha.11@hotmail.com
شقق رحابة المنزل للوحدات السكنيه المفروشه,الرياض,الرياض,العليا,الامير عبد العزيز بن مساعد بن جلوي,9362,86491,+9664660005,ehsan-67@hotmil.com
أماسي الخليج,الرياض,الرياض,حي الخليج,الامام محمد اسماعيل الصنعاني,2,,011-2262332,shobob9@hotmail.com
فندق الكرام الفضي,المدينة المنورة,المدينة المنورة,حي السقيا,الفضل بن عتبه الخزاز,3931,4411,+966148362700,housesalkram@gmail.com
مؤسسة نجمة الاسراء الذهبية للوحدات السكنية,جدة,مكة المكرمة,النزهة,حراء,4082,4082,+966555522573,nazeergari1@gmail.com
شاطئ السعادة,جدة,مكة المكرمة,الحمراء,المعادي,0,,012-6166084,aibrahim@happybeachgroup.com
شقق الرواسى الفضيه للشقق المفروشة,جدة,مكة المكرمة,حي الامير فواز الجنوبى,الغنامين,3666,22431,+966126211995,almarjan0501@outlook.com
روعة الشهد,خميس مشيط,عسير,حي المثناه,طريق الملك خالد,232,,017-2226904,mohdalganoom@gmail.com
فندق العليان بلازا,العاصمة المقدسة,مكة المكرمة,حي العزيزية,alolayan plaza hotel,7992,3380,+966125566622,mkm.olayanco@gmail.com
فندق البركة فرع شركة مجموعة مودة العالمية المحدودة,العاصمة المقدسة,مكة المكرمة,اجياد,طريق الملك عبدالعزيز,4835,3904,+966125412888,abo.saud1@mawaddah.com.sa
فندق وردة المزن الفندقية,العاصمة المقدسة,مكة المكرمة,المسفلة,دحلة ابو طبنجة,0,7476,+966553305090,alshallalhotel@gmail.com
شقق مواسم جنوبية للشقق المفروشة,المخواة,الباحة,الفيصلية,طريق الملك عبدالله,7143,0,+966177220996,badralmshraf09@gmail.com
فندق ثروات ضيافة الرحمن,العاصمة المقدسة,مكة المكرمة,حي الشبيكة,العدل,6636,51060,+966541841840,hassenen4@gmail.com
نوارة المنسك للوحدات السكنية,أبها,عسير,المروج,طريق ابو هريرة,1,,017-2405050,thokob.ali@gmail.com
شركة النافورة للوحدات السكنية,جدة,مكة المكرمة,المنار,الاجواد العام,0,,012-6521444,skh@lafontaine.com.sa
فندق براء مرمرة,المدينة المنورة,المدينة المنورة,بني خدرة,زيد بن حارثة,4024,,014-8276461,oz_aytemisler@hotmail.com
شركة منارة المسك الفندقية,العاصمة المقدسة,مكة المكرمة,اجياد,اجياد السد الشارع العام، مكة,6923,24231,+966125700664,walmisk1@gmail.com
مرافئ النخبة,القنفذة,مكة المكرمة,الخالدية,الملك فيصل,108,,012-7334444,alshegaifi@hotmail.com
شقق نزل فدن للوحدات السكنية,الرياض,الرياض,النرجس,ظلم,4930,46475,+966112110883,sanotife1@hotmail.com
ابحر,جدة,مكة المكرمة,ابحر الجنوبية,الكورنيش,6930,,012-6563030,naseer.harthy@gmail.com
شقق ألجون للشقق المفروشة,الرياض,الرياض,حي اشبيلية,القبة,7822,100836,+966112110338,adelzarzora@gmail.com
جوهرة العارضة,العارضة,جازان,الرخه,العام,3,,017-3316172,abc123sa@gmail.com
شقق روز وود للشقق المخدومة,الطائف,مكة المكرمة,معشي,ابن ماجد,4382,1455,+966127332233,am.am555@outlook.com
اصول,جدة,مكة المكرمة,النسيم,علي المرتضى,1,,012-6544794,asoul10@hotmail.com
شقق التميز الشرقي المخدومة,الدمام,الشرقية,طيبه,المهاجر بن أميه,3863,3484,+966138036939,awad0558856990@hotmail.com
فندق كادي الهجرة الفندقية,العاصمة المقدسة,مكة المكرمة,الهجلة,0,6190,6190,+966125310984,fa_339@hotmail.com
فندق الكرام الجديد,المدينة المنورة,المدينة المنورة,حي السقيا,الفضل بن عتبه الخزاز,3915,4411,+966148362700,housesalkram@gmail.com
قصر الزيتون,سكاكا,الجوف,الزهور,الامام محمد بن سعود,229,,014-6240571,QASR-ALZETON@HOTMAIL.COM
شقق رؤية للشقق المخدومة,الرياض,الرياض,حي المروة,طريق ديراب,8061,14725,+9664235899,KIG-800@hotmail.com
خوله,الهفوف,الشرقية,الحفيره,الملك سلمان,0,,013-5751576,dosmoh66@gmail.com
شقق ليالي الزلفي للشقق المفروشة,الزلفي,الرياض,العزيزية,omr bn elkhattap,6282,113,+966164222231,ZEZZEZ88@OUTLOOK.COM
شقق درر ارال للشقق المفروشة,الرياض,الرياض,شبرا,الطريق الدائري الجنوبي,4442,12989,+966114404084,alhussainmi@gmail.com
شركة أوليان الفندقية,الرياض,الرياض,الياسمين,طريق الإمام سعود بن فيصل الفرعي,3386,,011-2090777,info@olianhotels.com
فندق ارجوان الضيافة الفندقية,المدينة المنورة,المدينة المنورة,حي بضاعة,سعد بن معاذ رضي الله عنه,1,7168,+966148400059,moliky93@gmail.com
ابراج اليوم,الحرجة,عسير,المراث,العام,6926,,017-2490329,saifhassan1379@icloud.com
شركة واحة سدير الفندقية,الرياض,الرياض,الملز,جرير,2976,1973,+966112018700,turki.agm@ecec.com.sa
فندق رؤيا الروضه الفندقية,العاصمة المقدسة,مكة المكرمة,المعابدة,الششة,123,7662,+966125455555,m0555555719@hotmail.com
شقق غصن الزيتون للوحدات السكنية,سكاكا,الجوف,حي الزهور,الدمام,8635,72346,+966146257768,fahad.d.n@hotmail.com268
مؤسسة ديباج للوحدات السكنية,الدمام,الشرقية,حي الشاطئ الشرقي,فضالة بن عبيد,8422,9995,+966138096881,dybaj50@gmail.com
قصر اليمامه,الرياض,الرياض,النسيم,اسامه بن زيد,13,,011-4911166,doom8111@hotmail.com
مؤسسة قصر الشوق للوحدات السكنية,جدة,مكة المكرمة,الفاروق,محب الله الغزي,6237,4289,+966126234090,basha.11@hotmail.com
العموريه,الرياض,الرياض,عليشه,هيثم بن هبيره,210,,011-4345225,wow_ksa@hotmail.com
مركز أبهى القصور النميص,أبها,عسير,النميص,العام,7252,,017-2348888,Almaqbool61@hotmail.com
نزل التقوى,تبوك,تبوك,المروج الثاني,ابو بكر,7688,,014-4253206,hassan4invest@hotmail.com
فندق كادي نجران للشقق الفندقية,نجران,نجران,العريسة,خزاعه ابن الاسود,4179,4179,+966175443999,alkathi_alarabia@yahoo.com
منتجع شاطئ الدانة,الخبر,الشرقية,حي الراكة الجنوبية,طريق الملك فهد بن عبد العزيز,6455,2423,+966138963666,h.alqanbar@danabay.com
دار الرياض للوحدات السكنية المفروشة 2,الرياض,الرياض,المروج,العليا العام,10,,011-4506995,some_one_xxx@hotmail.com
شقق المختار واحد للوحدات السكنية,الطائف,مكة المكرمة,جبره,طريق المطار,8331,2234,+9661272509000,almokhtar1group@gmail.com
اللحيدان للوحدات السكنية,حائل,حائل,المطار,شارع الملك سعود,7058,,016-5342233,acc5342233@gmail.com
فندق بارك إن فرع شركة تلال السعودية الاولى العقارية,العاصمة المقدسة,مكة المكرمة,حي النسيم,الدائري,3225,12471,+966125260500,salwa.fallata@parkinn.com
تنال,الخبر,الشرقية,الجوهره,فراس بن النضر,6879,,013-8933939,TNAL.HOTEL@GMAIL.COM
زهرة حمود العبيدي الفندقية,العاصمة المقدسة,مكة المكرمة,المسفلة,دحلة الرشد,2145,,014-5778882,abdaalh_azz@hotmail.com
شركة درة أبها الفندقية,أبها,عسير,البصرة,ابراهيم الحديثي,9274,75,+966920000666,exe.dir@boudl.com
قصر النهضه,الرياض,الرياض,النهضه,الجبيل,12,,011-4533718,BREEH33@HOTMAIL.COM
شقق العنوان الجديد للوحدات السكنية,الدمام,الشرقية,الفيصلية,الإمام محمد بن سعود,2,,013-8184992,hmalshehri10@gmail.com
فندق رابية الحجازي,العاصمة المقدسة,مكة المكرمة,العزيزية,طريق المسجد الحرام,20,,014-5669898,na-5@9.cn
فندق الرفاع السد,العاصمة المقدسة,مكة المكرمة,اجياد السد,طريق الملك عبدالعزيز,114,,014-5779889,alrifaa@gmail.com
شقق الرمال للشقق المفروشة,الرياض,الرياض,النسيم الشرقي,سبا,2424,13225,+966011123457,engremal@yahoo.com
شقق برج السعادة للشقق المفروشة,لبوة,عسير,عريجة,-,8910,1234,+966172641124,alisaed063@gmail.com
شركة بيت المنتزة للوحدات السكنية المفروشة (شركة شخص واحد),الرياض,الرياض,الورود,المهندس مساعد العنقري,6600,12251,+966112733331,A49f@outlook.com
شقق المرجان بارك للشقق المخدومة,الدمام,الشرقية,الشاطئ الشرقي,فضالة بن عبيد,8422,32414,+966138021680,aDEAL_ALMUSALLAM@HOTMAIL.COM
فندق ربوع نجران لصاحبه بندر محمد يعلا,نجران,نجران,الخالديه,طريق الملك عبد العزيز,11,,017-5236307,hosssen11@hotmail.com
قصر مبارك 1 للشقق المفروشه,الرياض,الرياض,اليرموك,ابو جعفر المنصور,2,,011-2498410,abomenahy@hotmail.com
نزل العروبة,الرياض,الرياض,ظهرة لبن,الشفا,3355,,011-0000000,Cc11ss9@gmail.com
الياقوتة الزرقاء للوحدات السكنية,الرياض,الرياض,حي الروابي,عنيزة,6695,14215,+966114452928,krh400@hotmail.com
دار قصر المنار,المدينة المنورة,المدينة المنورة,المصانع,المصانع بجوار دار الجزيره,1482,,014-8292993,manar.almadinah@yahoo.com
فندق رسيل فرسان الفندقية,فرسان,جازان,الجامع,العام,7289,2066,+966173160005,abalous@jazanu.edu.sa
شقق روابي الجنوب للوحدات السكنية,جازان,جازان,الشاطى,شارع الامير ممدوح  بن عبدالعزيز,3725,82816,+966173400040,abo.m.2007@hotmail.com
اجنحة النرجس,جازان,جازان,مخطط 5,الملك فهد,0,,017-3177171,alnargessuites@yahoo.com
فندق ماريوت جدة طريق المدينة,جدة,مكة المكرمة,البوادي,طريق المدينة,3621,57750,+966126836666,Badr@alhokair.com
فندق عبير البيت الفندقية,العاصمة المقدسة,مكة المكرمة,حي الشبيكة,ابراهيم الخليل,6311,24233,+966505534955,saleem_alharbi@hotmail.com
فندق بلاد المشهد,العاصمة المقدسة,مكة المكرمة,المسفلة,إبراهيم الخليل,0,,014-5351594,jainal5470@gmail.com
شركة العييري للوحدات السكنية المفروشة,الدمام,الشرقية,المحمدية 2,الملك سعود تقاطع الامير نايف,210,7540,+966138385300,dammamaleairy@gmail.com
فندق البيرق الفندقية,العاصمة المقدسة,مكة المكرمة,كدي,طريق الدائري الثالث,18,,014-5236548,mhm22042@gmail.com
جوهرة فيفا,فيفاء,جازان,نيد الضالع,العام,0,,017-2500539,ali0505743202@hotmail.com
مكتب محمد بن فالح بن حسان الجابرى لادارت الاملاك,العاصمة المقدسة,مكة المكرمة,الهنداوية,المنصور,0,2309,+966125481051,atef_elsayad1976@yahoo.com
دلما الخرج,الخرج,الرياض,الخزامى,طريق الملك عبدالله,2212,,011-5498144,albasmh14@gmail.com
فندق مكارم ضيافة البيت واحد الفندقية,العاصمة المقدسة,مكة المكرمة,المسفلة,ابراهيم الخليل,24233,9074,+0125531838,dyafahalbeet@hotmail.com
روائع الخليل,تربة,مكة المكرمة,العام,العام,15,,012-7320202,nahasdeeedeer@live.com
شقق دارنا للوحدات السكنية,جازان,جازان,مخطط 7,احمد بن حنبل,1,6202,+966555728055,nawaf0555728055@gmail.com
شقق بيوتي ريان للشقق المفروشة,جازان,جازان,المطار,الامير سلطان,4825,7809,+0173220400,omdah7376@hotmail.com
فندق الروضة المكية فرع شركة الروضة المكية,العاصمة المقدسة,مكة المكرمة,الروضة,الملك فهد,3934,3934,+966125298561,alrawda83@hotmail.com
شقق أفخم القصور للوحدات السكنية,أبها,عسير,النسيم,العام,8835,62521,+966178787878,dolahassan57@gmail.com
النعيم المختارة,المدينة المنورة,المدينة المنورة,بضاعة,الستين,174,,014-8299992,shakeel.ittech@hotmail.com
فندق جبل عمر دبل تري باي هيلتون,العاصمة المقدسة,مكة المكرمة,حي الشبيكة,ام القرى,3535,3,+966125567042,Abdullah.habadi@Hilton.com
صفوة الديار,مدينة سلطان,عسير,سلطانة,المطار,5000,,017-2275624,hamad@alrasigroup.com
فندق أركان الصفا الفندقية,العاصمة المقدسة,مكة المكرمة,اجياد السد,الملك عبدالعزيز,7115,4414,+966555021286,megbil2005@hotmail.com
فندق ربوة الصفوة فرع شركة الريان المكية المحدودة,العاصمة المقدسة,مكة المكرمة,حي الزهراء,سعد بن سهل البخاري,0,2462,+966125721122,SALEH@ALOTAIR.COM
شقق سما بارك للشقق المخدومة,جدة,مكة المكرمة,النهضة,عبدالرحمن الداخل,2521,23523,+966126124713,hamed.mg3702@gmail.com
فندق برج البلد الفندقية,العاصمة المقدسة,مكة المكرمة,الحفائر,أم القرى العام,0,,014-5491622,mudaffir1016@gmail.com
شركة مجموعة العييري التجارية المحدودة,الدمام,الشرقية,الجلوية,الامير نايف,42,4540,+966138411034,dammamaleairy@gmail.com
ركن العمر للوحدات السكنية المفروشة,الرياض,الرياض,المروج,عبد المحسن بن جلوي,46,,011-2254982,osman.mesfer@gmail.com
فندق دار طوى,العاصمة المقدسة,مكة المكرمة,اجياد,اجياد,7147,,014-5779666,services@dartuwa.com
فندق حديقة الخليل,العاصمة المقدسة,مكة المكرمة,المسفلة,إبراهيم الخليل,0,,014-5344401,sd606@hotmail.com
فندق ديار الحمراء,جدة,مكة المكرمة,الحمراء,المنصورة,2674,,012-2900357,alhattami03@hotmail.com
شركة روعة الغيم المحدودة,الشفا,مكة المكرمة,الشفا,الخط الدائري,2252,,012-7502202,mmomm7799@gmail.com
شركة البرج العالمية لادارة الفنادق فندق ساعة مكة فيرمونت,العاصمة المقدسة,مكة المكرمة,حي الهجلة,اجياد,4207,7654,+966012717777,Jameel.Balwi@Fairmont.com
شقق أجنحة عنان للوحدات السكنية,الدمام,الشرقية,حي الروضة,مالك بن جبير,8326,4,+966138358670,amrids35@gmail.com
فندق راديسون مدينة الدمام الصناعية,الدمام,الشرقية,المدينة الصناعية الثانية,مكة,7403,7403,+966138199500,jaffer.almarzooq@parkinn.com
فندق منازل الحور,العاصمة المقدسة,مكة المكرمة,حي العزيزية,طريق المسجد الحرام,8486,2922,+966500086887,msumaly@hotmail.com
مؤسسة شجرة الطريق للشقق المفروشة,الرياض,الرياض,حي الشهداء,جبل نحيت,3798,7694,+966555202613,faisal.c.c.of@gmail.com
شركة أصيل الموحدة المحدودة,الدرعية,الرياض,العودة,وادي حنيفة,1,8763,+966554777473,m.alajmi@aseel-holding.com
شركة درة النخيل الفندقية,الرياض,الرياض,حي الازدهار,طريق الامام سعود بن عبدالعزيز بن محمد,3050,12485,+9662523444,exe.dir@boudl.com
شقق البتونية للوحدات السكنية المفروشة,الخبر,الشرقية,الجوهرة,الشارع الثاني,2322,,013-8892044,obaziad@kfupm.edu.sa
قصور الأزد,أبها,عسير,القرى,العام,3585,,017-2243713,mana9630@hotmail.com
شركة النهدي للاستثمارات التجارية,الرياض,الرياض,المنصورة,إسلام أباد,2303,,011-4468666,info@nahditrading.com
شركة نزل الخليج للنزل السياحيه,الطائف,مكة المكرمة,حي الهدا,الدائري,8616,8616,+966127540090,info@tacc.sa
شقق دانة الجبيل للشقق الفندقية,الجبيل,الشرقية,حي دارين,الدانة 1,6407,35451,+966133454111,ammar.shaikh@falghanim.com
فندق ريف الجنوب,شرورة,نجران,الروضة,الملك عبدالعزيز,2255,,017-5321777,daral3em200@hotmail.com
لونان للوحدات السكنية المفروشة,خميس مشيط,عسير,الوقواق,شارع الملك خالد,52,,017-2222200,a1079176440@gmail.com
شقق روتانه للوحدات السكنية المفروشة,جدة,مكة المكرمة,حي الحمراء,جده حي الحمراء شارع المعادي املاك,2364,15842,+966505648872,info@rotanajeddahhotel.com
شقق أوركيد عرعر المفروشة,عرعر,الحدود الشمالية,المساعدية,الملك عبدالعزيز,1,,014-6640129,mnsoor0101@hotmail.com
صفوة السيل,السيل الكبير,مكة المكرمة,السيل الصغير,العام,0,,012-7291331,z686@hotmail.com
مؤسسة وكن للوحدات السكنية المفروشة,جدة,مكة المكرمة,الخالدية,سعود الفيصل,3426,23423,+966126062003,mhbethlei@gmail.com.sa
المهيدب للوحدات السكنية,الرياض,الرياض,السويدي,الداري الجنوبي,1,,011-4494165,hazem-ramadan@windowslive.com
شقق إجازة للوحدات السكنية,الدمام,الشرقية,السلام,الحادي عشر,8176,8176,+966555813777,alfehidi777@gmail.com
اجواد بيش للوحدات السكنية المفروشه,مسلية,جازان,الشرقي,العام,123,,017-3421234,ajwadbish@gmail.com
فندق نزل المنورة,المدينة المنورة,المدينة المنورة,بضاعه,عبدالرحمن بن عوف,163,,014-8205550,www.mga@hotmail.com
الـبـرواز للوحدات السكنية المفروشة,جسر الملك فهد,الشرقية,الثقبة,مكة,97,,013-8975252,msh8088275@gmail.com
فرع قصر البالود,المدينة المنورة,المدينة المنورة,العريض,عطاء بن ميسرة,6,,014-8315999,amnd77@gmail.com
فندق زهرة رغائب,العاصمة المقدسة,مكة المكرمة,جرول,التيسير,7721,,014-5448017,mlbr333@hotmail.com
فندق كونكورد دار الخير الفندقية,المدينة المنورة,المدينة المنورة,حي بضاعة,سعد بن معاذ,6938,2795,+966148181777,mno-737@hotmail.com
شقق حلم شروره للشقق المفروشة,شرورة,نجران,السوق,السوق,7182,,017-5325858,Mdaralmd@hotmail.com
قصور راحتي هنا,جدة,مكة المكرمة,الروابي,بن لادن,4895,,012-6134176,bat.x@hotmail.com
درة المطار,جدة,مكة المكرمة,النزهه,الملك فهد,9,,012-6555160,as_batarfi@yahoo.com
فندق أفيان,العاصمة المقدسة,مكة المكرمة,الهنداويه,منصور,12,,014-5242395,ooo3badiooo@gmail.com
شقق انا الشرق للشقق المفروشة,تربة,مكة المكرمة,تربة,الملك فهد,7749,,012-8224141,midosea2006@hotmail.com
فندق مورا,جدة,مكة المكرمة,حي الحمراء,الأسكندرية,2899,7062,+966126773333,mora@hpc-hospitality.com
أماسي المهد,مهد الذهب,المدينة المنورة,المخطط الشرقي,شارع فيصل بن عبدالعزيز,15,,014-8378554,flaj2015@hotmail.com
نجوم المساء للوحدات السكنية المفروشة,الباحة,الباحة,الشفا,الملك فهد,3367,,017-7221488,a1044380150@gmail.com
فندق ثروات الروضة,العاصمة المقدسة,مكة المكرمة,حي العزيزية,الروضة,3543,51060,+966541841840,hassenen4@gmail.com
العييرى للوحدات السكنية الفروشة,حائل,حائل,الزباره,الامير مقرن بن عبدالعزيز,6713,,016-5362656,elhosarymohamed640@gmail.com
منتجع طارق بن عثمان الغامدي,بني كبير,الباحة,السلمية,المستشفى,3382,,017-7220808,tareq.o.alsalal@gmail.com
فندق العينية الفندقية,المدينة المنورة,المدينة المنورة,المغيسلة,طريق الامير عبد المجيد,8157,8157,+966557722180,alayniah.hotel@gmail.com
فندق قصر صيدا الفندقية,احد المسارحة,جازان,العامرية,الملك عبدالله,6425,6407,+966173198228,eyad00ha00@hotmail.com
سحاب الاندلس,الوجه,تبوك,النهضة,الملك فهد,3426,,014-4243000,alamash2015@gmail.com
فندق الايمان المنار,المدينة المنورة,المدينة المنورة,بضاعة,سعد بن معاذ,425,,014-8346030,nawaf0002009@hotmail.com
فندق ريف العالمية,العاصمة المقدسة,مكة المكرمة,المعابدة,المسجد الحرام,7303,24236,+966125533655,yasserrefaie@gmail.com
أكناف الراحة,النماص,عسير,المطل,النماص  الشارع العام,1,,017-2821633,fsmb.1996@gmail.com
أحلا الأوقات بتنومة الفندقية,ةنومة,عسير,آل حزيبر,آل حزيبر,50,,017-2836050,abobsamvip3@gmail.com
فندق مسارات الخليل,العاصمة المقدسة,مكة المكرمة,المسفلة,ابراهيم الخليل,6039,87,+966125344401,aasimalnoore@gmail.com
فيروزية الفضيلة,المضيق,مكة المكرمة,المسفلة,الدئري الثاني,0,,014-5313310,fahad_3322@hotmail.com
شركة معاد العالمية الفندقية المحدودة,العاصمة المقدسة,مكة المكرمة,المسفلة,ابراهيم الخليل,1,24233,+966125665007,kh.sh7@maad.com.sa
شقق الماسة التاج للوحدات السكنية,حائل,حائل,الوسيطاء,شارع الشيخ علي الجميعه,2979,3859,+966165580001,eltaj_elzhpy@yahoo.com
فندق تمكين الفندقية,المدينة المنورة,المدينة المنورة,بن معاوية,الارقم بن ابى الارقم,6280,42313,+966112650623,sultan905@hotmail.com
الأجنحه التنفيذيه,الرياض,الرياض,العليا,الأمير محمد بن عبدالعزيز,119,,011-2154898,dweeel@hotmail.com
